statement,question,correct_answer_text
"Nipa a ɔte hɔ no, ne nsa kɔ n'ase daa.",What is the character doing when 'ne nsa kɔ n'ase'?,"They are humble, respectful, or perhaps very submissive to authority."
"Yɛrehwɛ obiara, nanso yɛn nsa nka n'ani.",What does 'yɛn nsa nka n'ani' mean?,We cannot get close to them or uncover their secrets.
"Nea ɔbɛyɛ biara, ne nan bɛhyɛ ɛpo no.",What is the meaning of 'ne nan bɛhyɛ ɛpo no'?,They will face the consequences of their actions.
"Abusua no nyinaa, wɔn ani abere wɔ asɛm no ho.",What is the family's reaction to the matter?,The family is deeply worried or stressed about the situation.
"Sɛ wopɛ sɛ wotu kwan a, hwɛ nea wofa fa.",What is the core message of this warning?,Be careful with the choices or paths you take in life.
"Ɔde n'ano bɛto m'anim sɛ ɔbɛboa me, nanso menyɛ hwee.",What is the speaker saying about the promise?,"The person made an empty, false promise of help."
"Sɛ wodi atoro a, w'ano bɛdane.",What is the consequence of lying according to this statement?,You will be exposed and brought to shame.
"Woa, w'ani nna hɔ, nanso wopɛ nneɛma a ɛwɔ akyiri.",What is the speaker saying about the person's focus?,The person is ignoring their immediate responsibilities and chasing distant dreams.
"Ɛnnɛ, yɛn nsa bɛka dwuma no.",What is the status of the project?,We are finally going to successfully complete or achieve the task.
"Nea ɔrebo ne koko no, ɔntumi nni.",What is being implied about the character?,The person is boasting or acting brave but has no real power.
"Sɛ nsuo no firi aseɛ a, ɛnyɛ nea ɛbɛtwam.",What does this suggest about the coming trouble?,The upcoming trouble is serious and persistent.
"Wo nsa kɔ n'ani a, w'ani bɛbere.",What is the result of messing with someone powerful?,"If you provoke the wrong person, you will face severe repercussions."
Ɔkwan biara nni hɔ a ɔbɛfa so ama n'adeɛ asane.,What is the final verdict on the character's plan?,There is absolutely no way his plans will work out.
"Nkrabea nti, na okyi aduane a woafono.",What is the implied meaning of this proverb in the context of the character's suffering?,Destiny is unavoidable; sometimes you are forced to endure what you despise.
"Ɔbaa no anim yɛ duru, nti obiara nni kwan a ɔbɛfa so aka n’asɛm.",What does 'anim yɛ duru' imply about the woman?,She is highly respected and commands authority/fear.
"Wonyin a, na wuhu sɛ owia tɔe a, ɛnnuru anadwo.",What is the speaker trying to warn about?,That one cannot escape the consequences or end of a situation.
"M'ani abere wo, ɛfiri se wode w'ani ato me nneɛma so.",What does the phrase 'm'ani abere wo' mean here?,I am angry or suspicious of you for being covetous.
"Ɔkraman ani nni hwee, nanso ɔnam ne honam mu a, ɔkyerɛ sɛ ɔwɔ hwee.",What point is the speaker making about the deceitful relative?,That a person who has nothing can still pretend to be wealthy or important.
"Sɛ wopɛ sɛ wunya asomdwoe a, fa wo nsa hyehyɛ wo tiri mu.",What is the advice being given?,To mind your own business and stay out of trouble.
"Mmarima nyinaa nni hɔ a, mma w’akoma ntu.",What does the idiom 'wo akoma ntu' suggest?,You should not panic or lose hope in desperate times.
"Ɔpanyin no te hɔ a, ɔrekyerɛ sɛ n'ano adwuma aba.",What is the elder doing?,He is gossiping or backbiting uncontrollably.
"Wo nsa aka po, enti wunim sɛ adwuma no yɛ duru.",What does 'wo nsa aka po' mean?,You have experienced the depth or difficulty of the situation personally.
"Mmarima te sɛ asubontene, wubɛtumi atwa mu, nanso wonni tumi nsi kwan.",What is the speaker saying about men?,Men are unpredictable and difficult to control or fully dominate.
"Wodi n'akyi a, wode w’akoma bɛkyɛ no.",What does it mean to 'de wo akoma kyɛ' someone?,To place your trust or emotions completely in their hands.
"Ɛnnɛ, wo nsa aka nsoromma.",What has happened to the character?,They have achieved something extraordinary or impossible.
"N’ano yɛ dɛ, nanso n’akoma yɛ den.",What is the character's true nature?,They speak kindly but are malicious or cruel at heart.
"Woamfata abɛ, nti woresisi wo ho.",What does it mean to 'sisi wo ho'?,To deceive oneself or live a lie.
"M’asɛm yɛ ya, ɛnneɛ wo ani nna hɔ.",What is the speaker saying about the listener's awareness?,You are willfully ignorant or pretending not to see the truth.
"Nipa a ɔde n'ani abere obi, ɔmpɛ ne yiyie.",What is the implied meaning of this statement?,The person is envious and does not wish others well.
"Wonyi w’ano a, obi nnyi ma wo.",What is the speaker advising?,You must speak up for yourself because no one else will advocate for your needs.
"Ɔbaa no yɛ ne ho sɛ nea ɔyɛ ɔkyerɛkyerɛni, nanso n'amene yɛ kusu.",What is being said about the woman's character?,"She pretends to be wise or educated, but she is actually ignorant."
Maame no te sɛ ɔkraman a ɔrepɛ n'akyi.,What behavior is being described?,"The woman is restless, anxious, or unable to sit still."
"Ne nsam yɛ duru dodo, enti ɔmpɛ sɛ ɔboa obiara.",What does it mean that 'her hands are heavy'?,She is stingy or ungenerous.
"Sɛ wopɛ sɛ woanya asomdwoe a, fa w'ano to w'adwene mu.",What is the advice given here?,You should remain silent or keep your thoughts to yourself to avoid conflict.
"Ɔbarima no rebo ne nsa aka ne tiri, nanso ɔnyɛ hwee.",What is the man's current state?,He is confused or struggling to find a solution to a problem.
"Wode wo nsa bɛto ogya mu a, wunya dɛ.",What is the lesson regarding the person's actions?,"If you engage in dangerous or illicit activities, you will inevitably face the consequences."
Ɔbarima no te sɛ okoto a ne nufu nni mu.,What does this description imply about the man?,He is someone who is useless or lacks any real substance or value.
"Ne nsa nni hwee, nanso ɔpɛ sɛ ɔbɛyɛ ɔhene.",What does it mean that 'his hand has nothing'?,He is completely broke or has no financial resources.
"Yɛnka nkyerɛ no, na ne tiri yɛ duru.",Why are they reluctant to tell him?,He is stubborn or slow to understand instructions.
"Ɔbaa no de ne ho abɔ ne nsa, seesei ɔrebre.",What happened to the woman?,She brought trouble or suffering upon herself through her own actions.
Me nsa aka m'ani so.,What does the speaker mean?,The speaker has witnessed something shocking or unbelievable.
Obiara nka ne nsam wɔ nea ɔyɛe no.,What is the result of the character's actions?,The person is facing the consequences of their actions; they are regretful.
"Sɛ woane wo ho a, wunim nea w'akoma wɔ.",What is the deeper meaning of this statement?,You know your own true intentions and the secrets you keep.
Ɔbarima no rebu n'ani agu ne ho.,What is the person doing?,The man is feeling ashamed or humiliated by his own actions.
Ne nsa nni nkyene.,What does it mean that her hand has no salt?,She is not skilled at cooking or her food lacks flavor.
"Sɛ obi repɛ wo asɛm a, ɔde n'ani bɛbɔ wo.",What is the warning being given?,"Someone is monitoring or targeting you, usually with malicious intent."
Ɔbaa no ne n’ano nni nkabom.,What is being said about the woman's speech?,She is inconsistent; she says one thing but means another.
"Mepɛ sɛ mesan makɔ me fie, me nsa yɛ me.",What does the speaker mean by 'my hand is doing me'?,"The speaker is desperate or struggling, and things are going wrong for them."
Ɔbarima no tiri yɛ den dodo.,What is meant by 'the head is too hard'?,The person is extremely stubborn and refuses to listen to advice.
"Wode w'ani to wo ho so, wunim nea woakɔ.",What is being said about the character?,You are self-reliant and aware of the consequences of your path.
"Yɛnnyina nkyerɛ no, na ne sika akyinkyin.",What is the situation with the money?,The money is being wasted or spent carelessly on useless things.
Nipa no yɛ ɔkwan a ɛne ne ho nhyia.,What kind of person is being described?,An unpredictable or two-faced person who contradicts themselves.
"Wopɛ sɛ wodi asɛm a, ka nokware.",What is the advice regarding the dispute?,"If you want to win a case or argument, you must speak the truth."
"Nipa yi ani abere, ɔpɛ asɛm na ɛkɔ.",What does it mean when the character says the person's eyes are red?,The person is extremely angry and looking for trouble.
"Mmaa yi kasa dodo, wɔn ti yɛ den dodo, wɔn nsuro obi.","When the character says 'wɔn ti yɛ den,' what is implied about the girls?",The girls are extremely stubborn and defiant.
"Me werɛ aho, na ɛne sɛ wopɛ sɛ wotwa me nsa.","In the context of being betrayed, what does 'otwa me nsa' mean here?",The person is trying to double-cross or cheat the character.
"Ɔbarima yi te ase a, ɛsɛ sɛ yɛkɔ kɔbisa ne kɔn mu asɛm.",What does 'kɔbisa ne kɔn mu asɛm' imply in this situation?,They need to consult the man for his opinion or permission on a serious matter.
"Ɛnnɛ, woaka me ho asɛm kyerɛɛ no, ɛno nti na m'ani agye.",What does 'm'ani agye' signify here?,The character is happy or excited.
"Sɛ wopɛ sɛ wodi nkonim a, ɛsɛ sɛ wode wo tirim bu kwan.",What does 'wode wo tirim bu kwan' mean in this context?,You must plan carefully and think strategically.
"Me nua, woamfa wo yam nyɛ ade a, obiara rempɛ wo asɛm.",What is the advice regarding 'woamfa wo yam nyɛ ade'?,You should act with kindness and sincerity.
"Ɔbarima no rewe mpan koraa, ɔnni hwee mfa nnyina ɔhaw no ano.",What does 'rewe mpan' imply for the man's state of life?,He is going through extreme hardship and poverty.
"Wopɛ sɛ wosɛe me din, nanso ɛrenyɛ yie; m'akoma te sɛ dadeɛ.",What does 'm'akoma te sɛ dadeɛ' imply about the speaker?,"The person is tough, resilient, and unbreakable."
"Woaka asɛm a ɛyɛ dɛ, nanso w'ano yɛ dɛ dodo, ɛsɛ sɛ woyɛ nwanwa.",What is the critique implied by 'w'ano yɛ dɛ'?,The person is overly flattering or deceitful with their speech.
"Ɛnnɛ me nsa aka bi, m'ani aso sɛ merenya sika no bi.",What does it mean for the character when they say 'me nsa aka bi'?,The person has finally secured a gain or profit.
"Obiara nka asɛm yi nkyerɛ ɔbaa no, efirisɛ n'aso yɛ den.",What is suggested about the woman by saying 'n'aso yɛ den'?,She is stubborn or refuses to listen to reason.
"Mmarima yi, wɔn nsam wɔ hwee, nanso wɔyɛ senea sika wɔ wɔn nkyɛn.",What does 'wɔn nsam wɔ hwee' mean?,They are completely broke or empty-handed.
"Wopɛ sɛ wodi me ho fɛw? M'ani tɛɛ, merennnya me ho.",What does the speaker mean by 'm'ani tɛɛ'?,They are alert and cannot be easily deceived.
"Wonyɛɛ nokware, na seesei wo kɔn abubu.",What does 'wo kɔn abubu' signify regarding the character?,"The character is disappointed, humbled, or defeated."
Ɔno na ɔde n'ano bɛtwa n'atiko; ɔkasa dodo.,What does 'ɔde n'ano bɛtwa n'atiko' mean?,The person brings trouble upon themselves by talking too much.
"Sɛ wopɛ asomdwoe a, ɛsɛ sɛ wode wo ani to fam.",What is the meaning of 'wode wo ani to fam'?,You should be humble and respectful.
"Me nua, ma wo ho so, nea woyɛ no, ɛkɔ so pɛpɛɛpɛ.",What does the phrase 'ma wo ho so' imply?,Hold your head high and have confidence.
Ɔbarima yi pɛ n'anim asɛm; ɔmpɛ sɛ obi keka ne ho asɛm.,What does it mean when someone 'pɛ n'anim asɛm'?,The person is full of pride and arrogance.
"Yɛnni nti, na yɛnkɔ yɛn anim? Sɛ yɛnyɛ a, yɛbɛka kwan.",What does 'yɛbɛka kwan' mean in this context?,They will lag behind or fail to make progress.
"Sɛ wopɛ sɛ wodi sika a, ɛsɛ sɛ woda wo ho adi.",What does 'woda wo ho adi' imply for business success?,"You must be industrious, visible, and hardworking."
"Mmaa no reka asɛm yi, nanso ɛyɛ asɛm a ɛwɔ ntokuro.",What does it mean to have 'asɛm a ɛwɔ ntokuro'?,The statement has hidden secrets or loopholes.
"Ɔbarima yi nim asɛm, nanso ɔmpɛ sɛ ɔda ne ho adi.",What does 'ɔmpɛ sɛ ɔda ne ho adi' mean?,The person is secretive or prefers not to show off their abilities.
"Kofi de sika no ato nsuo mu, w'ahu?",What has Kofi done by 'de sika no ato nsuo mu'?,He has wasted his money on a useless venture.
"Mmaa yi kasa dodo, nanso wɔn asɛm nni nkwa.",What does it mean when the character says 'wɔn asɛm nni nkwa'?,"The women's words are empty, meaningless, or have no substance."
"Nkrabea nti, yɛn nyinaa yɛn nsa aka nsuo a, ɛnsɛ sɛ yɛbu yɛn ho anim ase.",What is the speaker implying about their difficult situation?,They are facing a period of hardship but should keep their dignity.
"Ɔkunu no akɔtra ne mma no nkyɛn, na seesei ɔrewe n'ano.",What is the husband doing in this context?,He is suffering from regret or deep anxiety.
"Sɛ wopɛ sɛ wunya asomdwoeɛ a, gyae n'akyi nni.",What advice is being given?,Stop gossiping about that person behind their back.
"Obiara mmpɛ sɛ ɔbɛkɔ akɔhyia no, efisɛ ɔde ne ho ama nsuo a ɛyɛ dɛ.",What kind of person is being described?,Someone who is overly flirtatious or morally loose.
"Ɔbaa no yɛɛ ne ho sɛ wahu asɛm no, nanso ne ti yɛ duru.",What does it mean that 'her head is heavy'?,She is stubborn and refuses to listen to advice.
"Mepɛ sɛ wobisa me maame, efisɛ ɔno na ɔda n'ano.",What is the mother's role here?,She is the final decision-maker or the spokesperson.
"Yɛrehwɛ sɛnea ɔbɛkɔ so, nanso ne ntoma fi adi.",What is being revealed about the character?,Their true character or secret intentions are being exposed.
"Ɛfata sɛ wotie ne nnyigyei, efisɛ ɔnni n'asɛm so.",What does it mean that 'he is not on his matter'?,He is unreliable or not serious about what he says.
"Nnipa a ɛbɛtwa yɛn ntam no, na yɛbɛhu n'ahohiahia.",What is the significance of the people who come between them?,Interfering third parties will reveal their true suffering.
"Ɔkunu no ani abere anadwo no, nanso ɔne ne yere nkasa.",What is meant by his eyes being red?,He is extremely angry or furious.
"Sɛ wopɛ sɛ wotoa so a, wofata sɛ wotwe wo ho.",What does the elder mean by 'pull yourself'?,Self-discipline or removing oneself from a bad situation.
Ɔhene no de ne nsa to ne kɔn mu sɛ ɔbɛboa wo.,What is the King promising?,He is making a solemn vow or commitment to help.
"Sɛ wunya adeɛ a, nnyina ne so nni ahomasoɔ.",What is the warning regarding wealth?,Do not let success make you arrogant or proud.
"W'ano yɛ dɛ, nanso wo koma yɛ duru.",What does this contrast mean?,The person speaks kind words but has malicious intentions.
"Mepɛ sɛ wotwe wo ho fi me ho, efisɛ wo nsam yɛ nso.",What is being said about the person's character?,They are a thief or have a reputation for stealing.
"Ɔkraman no akɔ tra ne ho, na ɔbɛdi ne ho amane.",What will happen to the person?,They are associating with a bad person and will suffer for it.
"Wɔn nsa aka nkyene, enti wobɛtumi ayɛ adwuma.",What does it mean that their hands have touched salt?,They have finally experienced success or made a breakthrough.
"Sɛ wobɛkɔ a, mma w'ani nna hɔ.",What does 'do not let your eyes sleep there' mean?,Be vigilant and keep a close watch on the situation.
Mepɛ sɛ mehu sɛ wobɛbɔ wo ho amane.,What does it mean to 'beat your body in suffering'?,Going through extreme hardship or sacrifice.
"Ɔde ne ti atwa, efisɛ n'abusuafoɔ pɛ sɛ ɔyɛ saa.",What is implied by 'he has cut his head'?,"He has made a definitive, irreversible decision."
"Nipa bɔne yi n’ani abere, ɔpɛ sɛ ɔsɛe abusua yi din.",What is being said about the person's character?,The person is extremely envious and malicious towards the family.
"Merekɔ, nanso nkae sɛ, obiara nni hɔ a ɔbɛtumi agya me nsa wɔ ha.",What is the speaker implying by saying nobody can 'agya me nsa'?,Nobody can hold him accountable or control him.
"Adwuma no, yɛn ani da so, yɛn nsa nka bi nnu.",What does 'yɛn nsa nka bi' mean in this context?,They have not yet received any profit or benefit from the work.
"Ɔkunafo yi, n’asem bɛyɛ aduane a yɛnni, nanso yɛnni kwan.",What is the meaning of 'n’asem bɛyɛ aduane a yɛnni'?,The widow's behavior is creating an unbearable situation that they must endure.
"Sɛ wopɛ sɛ wotena abusua yi mu a, fa wo ti si fam.",What advice is being given to the family member?,They should be humble and respectful to survive in the family.
"Ɔbarima no de n'ano sii adwuma no so, nanso ɛnyɛe.",What does 'de n'ano sii' imply?,The man made a verbal promise or commitment to the work.
"Mpanimfoɔ no se, ɛsono ne nea yɛyɛ de kyia ɔhene, ɛsono ne nea yɛyɛ de kyia ɔbea.",What is the lesson regarding the proverb?,One must know the appropriate level of respect and approach for different people.
"Ɔbaa no hyɛɛ ne ho ɛsono, na ɔpɛ sɛ ɔdaadaa yɛn.",,The woman is being deceptive and putting up a false appearance.
"Abusua no nyinaa gyinaa ne ho se, 'yɛn nsa nka n’ani bio.'",What is the implication of 'yɛn nsa nka n’ani bio'?,They want nothing more to do with her or her affairs.
"N’asɛm no yɛ dɛ, nanso ne koma mu yɛ duru.",What does 'ne koma mu yɛ duru' suggest about the person?,"The person is wicked, secretive, or has bad intentions."
"Wonyɛ nea wobɛyɛ biara a, nkae sɛ nsuo a ɛbɛyɛ na ɛbɛyɛ.",What is the warning behind this statement?,"Consequences are inevitable, no matter what you do."
"Ɔpanyin no nsam yɛ duru, enti obiara nni hɔ a ɔbɛkasa.",What does it mean that the elder's hand is 'heavy'?,"The elder holds significant authority, power, or influence."
"Yɛrehwɛ abusuapanyin no, n’ani akye dɛn?","When someone asks 'n’ani akye dɛn', what are they inquiring about?",What is the motive or reason behind his current behavior?
"Mmarima no de akokɔ ne adesoa sii hɔ, nanso nea ɛbae ne sɛ...","In this context, what is 'akokɔ ne adesoa' referencing?",The men made empty or difficult promises/demands that are hard to fulfill.
"Kofi de ne nsa too ne bo mu, na ɔhwɛɛ baabi a ɛbɛyɛ.",What is Kofi doing by 'de ne nsa to ne bo mu'?,"Kofi is deep in thought, considering his options carefully."
"Abusua yi mu no, obiara wɔ nea ne nsa du.",What does 'wɔ nea ne nsa du' mean?,Everyone has their own limitations or areas of influence.
"Ɔbaa no kɔkɔɔ no, na ne tirim yɛ duru.",What is implied about the woman?,The woman is deceitful and has dangerous/dark thoughts.
"Sɛ woannya sika a, wo nsa yɛ duru, nanso abotare ne ade nyinaa.",What is the message to the person who is struggling?,"Poverty makes life difficult, but patience is the most important virtue."
"Yɛnni ntɔkwa, nanso obiara pɛ n'anim asɛm.",What does 'obiara pɛ n'anim asɛm' mean?,Everyone is self-centered and only cares about their own interest.
"Ɔpanyin no se, yɛmmfa yɛn ho nni agoru, efisɛ owuo mmpɛ obiara.",What is the elder warning the family about?,They should be serious because death doesn't discriminate or respect anyone.
Ɔbarima no ani abere na ne ho nso keka no.,What is the true state of the man being described?,The man is furious and agitated/restless.
"Nnipa yi, wɔmpɛ sɛ obiara tu ne ho di kan.",What does the speaker mean by 'tu ne ho di kan'?,They do not want anyone to succeed or get ahead of them in life.
"Me nuanom, obiara nni hɔ a ɔbɛtena asomdwoeɛ mu, nanso me na me ne ɔhene no ahyia.",What does the speaker imply by saying 'me ne ɔhene no ahyia'?,He has established a connection or gained favor with the person in power.
"Sɛ wode wo ani kyerɛ me a, ɛbɛyɛ sɛ woresusuw me.",What is the speaker accusing the other person of doing?,"He is undermining, disrespecting, or plotting against him."
"Eyi ne nea wɔfrɛ no 'bɔne a ɛkyɛri', ɛbɛba wo so na woanhunu.",What is the nature of the 'bɔne' (evil/wrongdoing) being described?,It is a consequence of one's past actions that catches up unexpectedly.
"Ɔkraman mmonwene, wose wopɛ aduane, nanso wo nsa nni hɔ.",What is the speaker saying about the person's character?,"The person is greedy and lazy, demanding things they haven't worked for."
"Nipa a ɔte hɔ a, n'ano wura ntɔkwa.",What does it mean when someone's mouth is full of 'ntɔkwa'?,The person is a troublemaker who constantly instigates arguments.
"Sika yi, me nsa aka bi, nanso ɛnyɛ me dea.",What is the status of the money the character is holding?,"He has handled the money, but it does not belong to him (perhaps he is a custodian)."
Ɔbarima no de ne nsa agu n'akyi.,What is the man's state of mind?,"He has given up, washed his hands of a situation, or feels defeated."
"Yɛn nnyina nea ɔrekasa no, n'ano nni mmara.",What does the speaker mean by 'n'ano nni mmara'?,"The speaker is reckless, unfiltered, or speaks without thinking of the consequences."
"Wonyin a, wobɛhunu sɛ 'obuo ne obi a ɔte hɔ'.",What is the cultural meaning behind this statement?,One learns through maturity that respecting others is essential for social harmony.
Ɔbaa no redi n'akyi n'akyi.,What is the woman doing?,She is gossiping about someone behind their back.
"Sɛ wohu sɛ obi rebrɛ, no mma no nkɔ so, boa no.",What is the advice being given?,Help someone who is struggling with life's hardships or suffering.
Yɛn kɔdi daa na yɛbɛhunu sɛ 'sika mpɛ nea ɔkɔm de no'.,What is the meaning of this proverb?,Money or success is not easily found by those who are desperate or impatient.
Ne tiri yɛ den dodo.,What is the person's personality trait?,The person is extremely stubborn or obstinate.
"Wose ɔte fie, nanso n'ani da akwan so.",What is being implied about the person?,He is unfaithful or looking for opportunities outside of his home/relationship.
"Adom no reba, nanso ɛbɛba na wopɛ.",What does the speaker mean by 'ɛbɛba na wopɛ'?,"Good fortune is coming, but you must be prepared and receptive for it."
"Ɔkwaeɛ mu nipa, ne ho yɛ den.",What is being said about the person from the village/bush?,"The person is resilient, rugged, or hardened by difficult life experiences."
Wode wo nsa hyɛ m’akoma mu.,What is the speaker saying?,You are causing me emotional pain or distress.
"Sɛ obi ka sɛ ɔbɛboa wo a, hwɛ ne nsa.",What is the wisdom behind this statement?,"Judge a person by their past actions and ability to deliver, not just their words."
"Awo Yaa pɛ sɛ ɔtra fie, nanso ɛneɛ ɔrebɔ ne bra akyi.",What is the implied consequence of Awo Yaa choosing to stay home?,Awo Yaa is wasting her youth or failing to make progress in life.
"Adwuma no yɛ den, nanso me ne no aso ɛkwan.",What does the speaker mean by 'me ne no aso ɛkwan'?,The speaker is ready to endure or has braced themselves to face the challenge.
"Ɔbarima yi yɛ ne yam, ɔnyɛ obi a ne ho yɛ duru.",What does 'ne ho yɛ duru' imply about the man?,"He is proud, arrogant, or pretentious."
"Awo Yaa anya sika foforo no, seesei ɔregye n'ani.",What is Awo Yaa doing?,She is enjoying life or living extravagantly.
"Yɛnka asɛm no nkyerɛ no, efisɛ n'aso yɛ duru.",Why should the person not be told the news?,The person is stubborn and refuses to take advice.
Ɔde ne ti aka ne ho abɔ mu.,What is the person's emotional state?,"He is deeply worried, stressed, or depressed."
"Sɛ wopɛ sɛ wunya sika a, ɛsɛ sɛ woyi wo nan ase.",What does 'woyi wo nan ase' mean?,You must work hard or make an effort to succeed.
"Awo Yaa ani abere, ɔpɛ asɛm.",What is Awo Yaa's state of mind?,She is very angry and looking for trouble.
Onyame abɔ no nkatia.,How is the person being described?,The person has been very unfortunate or doomed in life.
"Obiara nni hɔ a ɔbɛtumi de ne nsa aka adwuma no, gye ɔno nko.",What does 'de ne nsa aka' imply here?,Successfully achieving or completing the task.
"Yɛrehyia ɔhaw pii, nanso yɛn nsa nni so.",What does 'yɛn nsa nni so' mean?,They are not the cause of the problem.
Awo Yaa de ne ho hyɛɛ wɔn nsa.,What happened to Awo Yaa?,She surrendered herself to their control or care.
"Nnipa yi, wɔn ani nte hwee.",What does 'wɔn ani nte hwee' mean?,They are ignorant or unaware of what is going on.
"Ɔkwan a worefa so no, ɛrenni wo yie.",What does 'ɛrenni wo yie' mean?,The path you are taking will not lead to success.
Me nsa aka me nan.,What is the speaker's physical state?,I am shocked or surprised.
Awo Yaa bo afuw.,What is Awo Yaa's reaction?,Awo Yaa is extremely furious.
"Wonyɛ no saa a, ɔbɛkyerɛ wo ne ho.",What does 'ɔbɛkyerɛ wo ne ho' mean?,He will show you his true colors or prove his power to you.
"Mmarima yi, wɔn ano yɛ de.",What is being said about the men?,They are very good at persuasion or sweet-talking people.
"Wose ɔyɛ wo yere, nanso ɔrewe wo sika.",What is the woman doing?,She is spending your money extravagantly or wasting it.
Awo Yaa yɛ obi a ɔnim afutuo.,What does 'ɔnim afutuo' mean?,She knows how to give counseling or advice.
"Sɛ wobɛda ɔman no ano a, ɛsɛ sɛ woyɛ ntease.",What does 'wobɛda ɔman no ano' mean?,You will become a leader or the representative of the people.
Ne nsa akura adwuma no mu.,What is the person doing with the work?,He has fully engaged or committed himself to the task.
Ɔde ne ho ato me so.,What has the person done?,He has entrusted his life or problems entirely to me.
"Wonyinii a, wobɛhu.",What does this mean?,"When you mature or gain experience, you will understand the reality of life."
"Nipa yi, ɔpɛ sɛ ɔyɛ n'adeɛ.",What does 'ɔyɛ n'adeɛ' mean?,"He wants to do things his own way, often ignoring others."
"Ɔbarima yi, ne nsa bɔ fam dodo, ɔmmɛyɛ hwee a ɛbɛma ne fie afa yiye.",What is being said about the man's behavior?,He is extremely lazy and lacks ambition to improve his family's welfare.
"M'ani abere wo ho, enti hwɛ yiye na wopɛ nea wobɛka.",What does the speaker mean by 'M'ani abere wo ho'?,"The speaker is extremely angry, annoyed, or impatient with the person."
"Yɛnni nsuo nnom, nanso nipa yi repɛ sɛ ɔfa akwantu a ɛnyɛ.",What is the speaker implying about the person's plan?,The person is attempting an impossible or fruitless venture.
"Nipa a ɔwɔ m’akyi no, ɔyɛ obi a ne ho yɛ duru.",What is the status of the person being described?,"The person is highly respected, influential, or a person of substance."
Ɛsɛ sɛ yɛbɔ mpaeɛ na Onyankopɔn ama yɛn aso ate nka.,What does the speaker mean by 'ama yɛn aso ate nka'?,They are asking for God to make them hear or understand something important.
"Wo nsa akokwaw, enti gyae adwuma a woreyɛ yi ansa na woahwere wo ho.",What does 'Wo nsa akokwaw' signify in this context?,"The person is inexperienced, clumsy, or incompetent at the task."
"Nipa bɔne yi, yɛnni nea yɛbɛka, ne ti akye.",What has happened to the person?,"The person has become stubborn, defiant, or hardened in their bad ways."
Ɔbarima no buu n'anim guu fam bere a wɔkaa nokware no.,What was the man's reaction?,He felt deeply ashamed or disgraced by the truth.
"Yɛnni nni bi, nanso wobɛdi ka a ɛnyɛ wo dea.",What is the warning about?,The person is being warned not to take on debts or responsibilities that are not theirs.
"W'anom yɛ dɛ dodo, nti yɛntumi nnye wo di.",What is the problem with the person?,The person is too flattering or deceptive with their words.
"W'ani sɔ me nsa, entumi nnyina ha.",What is the speaker expressing?,The speaker is finding the person annoying or a hindrance to their progress.
"Sɛ wopɛ akwantu a, wopɛ nea ɛyɛ.",What is the advice given?,You should ensure that your plans or path are morally sound or legitimate.
"Wɔde sika no asiesie no yiye, nanso ne koma nni mu.",What does 'ne koma nni mu' mean?,"The person is not sincere, committed, or passionate about what they are doing."
Ɔhene no de n'ani kyerɛɛ ɔbarima no.,What did the King do?,The King paid close attention to or showed special interest in the man.
"Nipa yi nni akwantu, ne nan yɛ dɛw.",What is implied by 'ne nan yɛ dɛw'?,"The person is restless, always wandering, or inclined to travel frequently."
Mɛhwɛ sɛ mɛbɔ n’asomdwoeɛ.,What is the speaker threatening to do?,"To disturb, ruin, or destroy the person's peace of mind."
